#,Power_W,Speed_mms,Hatch_mm,ED_Jmm3,Res_Stress,Uncertainty
1,175.0,1050.0,0.12,34.7,-420.51,37.739
2,175.0,1008.3,0.1117,38.9,-408.37,25.495
3,175.0,941.7,0.1117,41.6,-402.93,29.817
4,175.0,1050.0,0.0983,42.4,-423.13,30.688
5,175.0,1008.3,0.0983,44.1,-421.11,19.017
6,175.0,875.0,0.1117,44.8,-403.43,25.233
7,175.0,941.7,0.0983,47.2,-412.6,25.09
8,175.0,1050.0,0.085,49.0,-428.57,27.888
9,175.0,875.0,0.0983,50.8,-411.99,22.821
10,241.7,1050.0,0.1117,51.5,-361.03,20.59
11,241.7,941.7,0.1117,57.5,-348.84,20.358
12,308.3,1050.0,0.12,61.2,-408.74,26.573
13,241.7,875.0,0.1117,61.8,-367.1,25.42
14,308.3,1008.3,0.12,63.7,-414.91,24.46
15,308.3,941.7,0.12,68.2,-398.08,25.864
16,241.7,875.0,0.0983,70.2,-361.73,12.072
17,241.7,1008.3,0.085,70.5,-359.47,9.683
18,308.3,941.7,0.1117,73.3,-392.82,23.233
19,308.3,1050.0,0.0983,74.7,-397.36,24.09
20,241.7,941.7,0.085,75.5,-358.75,16.119
21,350.0,1008.3,0.1117,77.7,-397.45,24.936
22,308.3,875.0,0.1117,78.9,-391.63,21.269
23,241.7,875.0,0.085,81.2,-358.99,32.092
24,308.3,941.7,0.0983,83.2,-404.47,23.661
25,350.0,875.0,0.12,83.3,-419.84,19.278
26,308.3,1050.0,0.085,86.4,-411.63,30.367
27,350.0,875.0,0.1117,89.6,-420.51,28.204
28,308.3,1008.3,0.085,89.9,-405.59,16.648
29,308.3,941.7,0.085,96.3,-400.52,27.358
30,350.0,1008.3,0.085,102.1,-405.02,32.406
